This be rotation
0.310914 -1.26117e-44 -0.883665 
0.308078 -1.4013e-44 -0.886269 
0.305203 -1.4013e-44 -0.888842 
0.30229 -1.54143e-44 -0.891382 
0.29934 -1.54143e-44 -0.893886 
0.296355 -1.68156e-44 -0.896353 
0.293336 -1.68156e-44 -0.89878 
0.290285 -1.82169e-44 -0.901165 
0.287204 -1.82169e-44 -0.903506 
0.284093 -1.96182e-44 -0.905802 
0.280954 -1.96182e-44 -0.908049 
0.27779 -1.96182e-44 -0.910247 
0.274601 -2.10195e-44 -0.912392 
0.271389 -2.10195e-44 -0.914482 
0.268156 -2.24208e-44 -0.916516 
0.264902 -2.24208e-44 -0.918492 
0.26163 -2.24208e-44 -0.920407 
0.258341 -2.38221e-44 -0.922259 
0.255037 -2.38221e-44 -0.924046 
0.251719 -2.52234e-44 -0.925767 
0.248389 -2.52234e-44 -0.927418 
0.245047 -2.52234e-44 -0.928998 
0.241697 -2.66247e-44 -0.930505 
0.238338 -2.66247e-44 -0.931937 
0.234973 -2.66247e-44 -0.933291 
0.231604 -2.66247e-44 -0.934565 
0.228231 -2.8026e-44 -0.935758 
0.224857 -2.8026e-44 -0.936867 
0.221482 -2.8026e-44 -0.93789 
0.218109 -2.8026e-44 -0.938825 
0.214739 -2.8026e-44 -0.93967 
0.211373 -2.94273e-44 -0.940423 
0.208013 -2.94273e-44 -0.941082 
0.20466 -2.94273e-44 -0.941644 
0.201316 -2.94273e-44 -0.942108 
0.197983 -2.94273e-44 -0.942471 
0.194662 -2.94273e-44 -0.942731 
0.191354 -2.94273e-44 -0.942887 
0.188062 -2.94273e-44 -0.942936 
0.184786 -2.94273e-44 -0.942875 
0.181528 -2.94273e-44 -0.942704 
0.178289 -2.8026e-44 -0.94242 
0.175072 -2.8026e-44 -0.94202 
0.171877 -2.8026e-44 -0.941502 
0.168707 -2.8026e-44 -0.940866 
0.165562 -2.8026e-44 -0.940107 
0.162445 -2.66247e-44 -0.939225 
0.159356 -2.66247e-44 -0.938218 
0.156298 -2.52234e-44 -0.937082 
0.153271 -2.52234e-44 -0.935816 
0.150278 -2.52234e-44 -0.934418 
0.147319 -2.38221e-44 -0.932886 
0.144397 -2.24208e-44 -0.931218 
0.141513 -2.24208e-44 -0.929411 
0.138668 -2.10195e-44 -0.927464 
0.135865 -2.10195e-44 -0.925374 
0.133103 -1.96182e-44 -0.923139 
0.130386 -1.82169e-44 -0.920757 
0.127714 -1.68156e-44 -0.918227 
0.125089 -1.54143e-44 -0.915546 
0.122513 -1.4013e-44 -0.912711 
0.119986 -1.4013e-44 -0.909721 
0.117512 -1.26117e-44 -0.906574 
0.11509 -9.80909e-45 -0.903268 
0.112723 -8.40779e-45 -0.899799 
0.110413 -7.00649e-45 -0.896168 
0.10816 -5.60519e-45 -0.89237 
0.105966 -4.2039e-45 -0.888405 
0.103833 -1.4013e-45 -0.88427 
0.101762 -0 -0.879963 
